training_cost,test_cost,epoch,training_shape_cost,test_shape_cost,training_shape_accuracy,test_shape_accuracy,training_size_cost,test_size_cost,training_size_accuracy,test_size_accuracy,training_color_cost,test_color_cost,training_color_accuracy,test_color_accuracy
0.18760725374575016,0.1875960609059275,0,0.06259500009042246,0.062592829009633,0.1111111111111111,0.1111111111111111,0.06245401594373915,0.062447616789076066,0.2222222222222222,0.2222222222222222,0.06255823771158854,0.06255561510721842,0.125,0.125
0.23232121479364087,0.23456010266586585,10,0.09990153748312114,0.10029765941478588,0.21555555555555556,0.23125,0.1252958255343967,0.12666841083102756,0.6659722222222222,0.6645833333333333,0.0071238517761230465,0.007594032420052422,0.9717361111111111,0.9729166666666667
0.22664458374918242,0.2301157527499729,20,0.09967661162953317,0.10004230075412326,0.2154861111111111,0.2298611111111111,0.1207399156358507,0.12322892083062066,0.6661111111111111,0.6652777777777777,0.006228056483798557,0.0068445311652289495,0.9725694444444445,0.9743055555555555
0.2231160475295267,0.2268739316934421,30,0.09958040967399691,0.09991926028404707,0.21520833333333333,0.2298611111111111,0.11753705342610678,0.12028939988878039,0.6661111111111111,0.6652777777777777,0.005998584429423014,0.006665271520614624,0.973125,0.9743055555555555
0.2209285204498856,0.22488635351628433,40,0.09952076099537037,0.09983883139527874,0.21590277777777778,0.22916666666666666,0.11577083163791232,0.11852871576944987,0.6661111111111111,0.6652777777777777,0.005636927816602919,0.006518806351555718,0.9734722222222222,0.9743055555555555
0.219398216082726,0.22343069204577695,50,0.09947553469810957,0.0997732091833044,0.2157638888888889,0.22916666666666666,0.11452773200141059,0.11725439495510526,0.6661111111111111,0.6652777777777777,0.005394949383205837,0.006403087907367282,0.9750694444444444,0.9743055555555555
0.2182110908885061,0.22231903576556547,60,0.0994524845076196,0.0997360888822579,0.21506944444444445,0.22777777777777777,0.11349527994791667,0.11628345913357205,0.6661805555555556,0.6652777777777777,0.005263326432969835,0.0062994877497355144,0.9750694444444444,0.9743055555555555
0.21743933524614498,0.22162387893523697,70,0.09943342797550153,0.099704780107663,0.21590277777777778,0.22777777777777777,0.11283795674641928,0.11572708553738065,0.6663194444444445,0.6652777777777777,0.0051679505242241755,0.006192013290193346,0.9760416666666667,0.975
0.21674268086751303,0.22095451487435236,80,0.09941765679253473,0.0996795654296875,0.2157638888888889,0.22777777777777777,0.11230274624294705,0.11521045896742078,0.6663194444444445,0.6652777777777777,0.00502227783203125,0.006064490477244059,0.9764583333333333,0.975
0.21609816698380457,0.2202424255418189,90,0.09940503532503858,0.09965647002797068,0.21583333333333332,0.22916666666666666,0.11181189643012153,0.11469184027777778,0.6667361111111111,0.6652777777777777,0.004881235228644477,0.005894115236070421,0.9773611111111111,0.9763888888888889
0.21546422081229127,0.21953046572061233,100,0.09939251181520062,0.09962640456211419,0.21645833333333334,0.22916666666666666,0.11129317389594184,0.11413261625501844,0.6667361111111111,0.6652777777777777,0.004778535101148817,0.005771444903479682,0.9775,0.9763888888888889
0.21479326136318252,0.21877318797288117,110,0.09937794626494983,0.09958041155779802,0.21729166666666666,0.22916666666666666,0.11076434665256077,0.11357769436306424,0.6667361111111111,0.6652777777777777,0.004650968445671929,0.005615082052018907,0.9780555555555556,0.9756944444444444
0.21407598124610053,0.2179301178013837,120,0.09936313205295139,0.09953305279767072,0.2170138888888889,0.22916666666666666,0.11012955559624565,0.11288239161173502,0.6669444444444445,0.6652777777777777,0.004583293596903483,0.005514673391977946,0.9786805555555556,0.9770833333333333
0.21331646136295646,0.21682188415233,130,0.09930997118537808,0.09936029881606867,0.21666666666666667,0.22916666666666666,0.10947602166069878,0.11204861534966362,0.6669444444444445,0.6652777777777777,0.004530468516879611,0.005412969986597697,0.9789583333333334,0.9777777777777777
0.21259165793289375,0.21586880613992243,140,0.09927312403549383,0.09924208087685667,0.2157638888888889,0.22916666666666666,0.10884982638888889,0.11134232415093316,0.6669444444444445,0.6652777777777777,0.004468707508511013,0.005284401112132602,0.9789583333333334,0.9777777777777777
0.21193676904395775,0.2152391430772381,150,0.09925722475405092,0.09920143786771798,0.21680555555555556,0.23125,0.10825992160373264,0.11082128948635525,0.6671527777777778,0.6652777777777777,0.004419622686174181,0.005216415723164876,0.9789583333333334,0.9777777777777777
0.21132272096327792,0.21483040507192966,160,0.09924941074701003,0.09919846146195023,0.21666666666666667,0.23055555555555557,0.10771416558159722,0.11047597461276584,0.6671527777777778,0.6652777777777777,0.004359144634670681,0.005155968997213576,0.9789583333333334,0.9777777777777777
0.2108679234834365,0.2145388074863104,170,0.09924120490933643,0.09919629509066358,0.2170138888888889,0.23125,0.10735026041666666,0.11024461322360568,0.6674305555555555,0.6652777777777777,0.0042764581574334035,0.005097899172041152,0.9789583333333334,0.9777777777777777
0.21053463985890516,0.2142607585883435,180,0.0992380928698881,0.09919443954656154,0.21645833333333334,0.23055555555555557,0.10707077026367187,0.1100187513563368,0.6674305555555555,0.6652777777777777,0.004225776725345188,0.00504756768544515,0.9789583333333334,0.9777777777777777
0.21016828816614033,0.21388975234679236,190,0.0992346794222608,0.09919110521858121,0.21583333333333332,0.23055555555555557,0.10676855299207899,0.10974622302585178,0.6674305555555555,0.6652777777777777,0.004165055751800537,0.004952424102359348,0.979375,0.9791666666666666
0.20972951706544854,0.2134414924883548,200,0.09922578788097994,0.09917965170777875,0.21625,0.23055555555555557,0.10639112684461806,0.10943821801079644,0.6674305555555555,0.6652777777777777,0.004112602339850531,0.004823622769779629,0.9794444444444445,0.9798611111111111
0.20938964861410636,0.21308079314084702,210,0.09919044777199075,0.09912981574918017,0.21597222222222223,0.2298611111111111,0.10610402425130208,0.10914913813273112,0.6676388888888889,0.6659722222222222,0.004095176590813531,0.004801839258935716,0.9794444444444445,0.9798611111111111
0.2091271162621769,0.2128466546903422,220,0.09918609995900848,0.09912480483820409,0.21555555555555556,0.2298611111111111,0.10586574130588107,0.10893878936767579,0.6676388888888889,0.6659722222222222,0.004075274997287327,0.0047830604844623145,0.9794444444444445,0.9798611111111111
0.20877110631377607,0.21262705966278359,230,0.09918461552372686,0.09912391945167824,0.21569444444444444,0.2298611111111111,0.10555352952745226,0.10874138938056098,0.6676388888888889,0.6659722222222222,0.004032961262596978,0.004761750830544365,0.9794444444444445,0.9798611111111111
0.2084788284772708,0.21240652258749362,240,0.09918324411651235,0.09912343908239293,0.21680555555555556,0.23055555555555557,0.1052795664469401,0.10853330824110242,0.6678472222222223,0.6659722222222222,0.00401601791381836,0.004749775263998244,0.9794444444444445,0.9798611111111111
0.2082959638407201,0.2122477560499568,250,0.09918207615981868,0.09912308116018037,0.21736111111111112,0.23125,0.10511238945855035,0.10839019351535373,0.6678472222222223,0.6659722222222222,0.004001498222351074,0.0047344813744227094,0.9798611111111111,0.9798611111111111
0.2080516386915136,0.21204586345472454,260,0.09918113425925926,0.09912286452305169,0.21756944444444445,0.23194444444444445,0.10490691290961371,0.10820462968614367,0.6678472222222223,0.6659722222222222,0.003963591522640652,0.004718369245529175,0.9803472222222223,0.9798611111111111
0.2078450819003729,0.2118702406132663,270,0.09918029031635803,0.09912273265697338,0.21722222222222223,0.23194444444444445,0.10472178988986545,0.10805080201890734,0.6679166666666667,0.6659722222222222,0.003943001694149441,0.004696705937385559,0.9803472222222223,0.9798611111111111
0.20763331901879956,0.21167146184562166,280,0.09917935595100308,0.09912244066779996,0.21736111111111112,0.2326388888888889,0.1045402103000217,0.1078942510816786,0.6679166666666667,0.6659722222222222,0.003913752767774794,0.0046547700961430865,0.9798611111111111,0.9784722222222222
0.20734658818186066,0.21143350347324655,290,0.09917836130401235,0.09912213925962095,0.21722222222222223,0.23055555555555557,0.10428815205891927,0.1077315330505371,0.6679166666666667,0.6659722222222222,0.0038800748189290364,0.004579831163088481,0.9802777777777778,0.9791666666666666
0.20699018710925254,0.21102178037902455,300,0.09917707278404707,0.09912173424238041,0.2175,0.23055555555555557,0.1040220218234592,0.10754190021091037,0.6679166666666667,0.6659722222222222,0.0037910925017462837,0.004358145925733779,0.980625,0.9791666666666666
0.20673280059555427,0.21071199237564464,310,0.09917572398244598,0.09912113142602237,0.216875,0.2298611111111111,0.1037829844156901,0.10728531943427191,0.6679166666666667,0.6659722222222222,0.003774092197418213,0.004305541515350342,0.980625,0.9791666666666666
