training_cost,test_cost,epoch,training_shape_cost,test_shape_cost,training_shape_accuracy,test_shape_accuracy,training_size_cost,test_size_cost,training_size_accuracy,test_size_accuracy,training_color_cost,test_color_cost,training_color_accuracy,test_color_accuracy
36.666666666666664,36.666666666666664,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.556446301710013,6.575882039149938,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.55158590962373,6.571055212440034,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.547723190641037,6.567210434325453,30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.544582372552815,6.564080931100115,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.541977746618699,6.561486342306469,50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.539780439876971,6.559300143576952,60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.537897460317941,6.557430241676371,70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.536261217428142,6.5558086048701725,80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.534821466970655,6.554384326021601,90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.533540224069778,6.553118286027004,100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.532388042903428,6.551980818742757,110,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.5313422410775095,6.550948861126219,120,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.530384867806683,6.550003734079655,130,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.529501842401385,6.549130921400502,140,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.5286818192120375,6.548318653579271,150,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.527915369123657,6.547557528347372,160,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.527195140862459,6.546840014068746,170,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.526514907869342,6.546159973438221,180,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.525869671633166,6.545512281800621,190,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.525255318253702,6.544892930357794,200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.5246681862205635,6.544298619851664,210,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.524105268027925,6.543726201586348,220,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.523564124552746,6.543173244562866,230,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.5230426172724725,6.542637845673986,240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.52253891791652,6.542118335899108,250,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.522051483760782,6.541613272299421,260,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.521578751418436,6.541121236719643,270,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.521119612860865,6.54064121472507,280,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.520673047029963,6.540172262875259,290,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.520238166123923,6.539713557613302,300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.5198141473055555,6.53926425193236,310,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.519400300010715,6.53882404622887,320,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.518995944984845,6.538392334912593,330,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.518600476092704,6.5379684377054215,340,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.518213437421849,6.53755190921527,350,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.51783433893107,6.537142454122982,360,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.5174627118478305,6.536739626538798,370,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.517098276312285,6.5363433565482,380,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.516740579070999,6.535953136805781,390,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.516389415940373,6.535568925946265,400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.516044439664611,6.535190212829103,410,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.5157053691563975,6.534816929486179,420,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.515372000562945,6.534448880315177,430,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.5150440832608725,6.534085912753815,440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.514721428071934,6.533727843350951,450,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.514403811069674,6.53337452482859,460,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.51409096959237,6.533025688943518,470,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.513782790144428,6.532681294180414,480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.513479063457692,6.5323411322468825,490,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.513179699713097,6.5320051565593324,500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.512884562630732,6.531673198961491,510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.51259349964154,6.531345069695251,520,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.512306391424701,6.53102082477239,530,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.512023141818694,6.530700305128509,540,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.511743628080577,6.530383549718762,550,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.511467736322601,6.530070438892775,560,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.511195333040143,6.529760756140846,570,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.510926280572021,6.529454319892911,580,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
